parid,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90
209,14.74,19.71,24.42,19.83,11.51,6.3,2.5,0.98
210,11.5,19.51,21.94,21.31,13.87,7.74,2.93,1.2
211,13.76,21.12,22.0,19.21,14.53,6.51,2.12,0.75
212,15.83,23.57,21.79,18.71,12.18,5.47,1.84,0.62
213,13.18,21.11,22.3,20.14,14.0,6.67,2.19,0.4
214,13.36,21.61,24.68,18.72,11.69,6.46,2.41,1.07
215,14.4,21.39,22.51,19.26,11.64,7.14,2.62,1.05
216,14.01,21.36,22.78,19.43,10.59,7.17,3.06,1.6
217,13.48,21.17,24.42,22.07,12.01,4.83,1.44,0.59
218,12.5,22.92,21.76,20.41,14.62,5.58,1.73,0.47
219,11.04,21.5,22.87,21.33,15.37,5.56,1.8,0.54
220,9.19,17.79,22.51,21.91,14.42,7.71,4.19,2.27
221,12.46,22.24,21.95,21.4,13.77,5.59,1.91,0.68
222,14.58,22.14,22.45,20.07,12.83,5.03,2.12,0.78
