data
"P9 ALOR SETAR  Chan Ming Kai (PH - PKR)40.5% (32,475)Muhammad Aminur Shafiq Mohamad Abduh (PAS)21.5% (17,275)Yoo Wei How (BN - MCA)17.7% (14,181)Registered voters: 80,272Majority: 15,200Spoilt votes: 881Unreturned votes: 0Voter Turnout: 65,096 (81.1%)DemographicsMalay 63.58%; Chinese 31.72%; Indian 4.21%; B/P Sabah 0.05%; B/P Sarawak 0.1%; Others 0.35%"
"P10 KUALA KEDAH  Azman Ismail (PH - PKR)37.5% (36,624)Muhammad Riduan Othman (PAS)23.7% (23,143)Abdullah Hasnan Kamaruddin (BN - UMNO)19.8% (19,400)Registered voters: 97,753Majority: 13,481Spoilt votes: 1,111Unreturned votes: 0Voter Turnout: 80,555 (82.4%)DemographicsMalay 78.27%; Chinese 20.25%; Indian 1.12%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Others 0.3%Incumbent: Azman Ismail"
"P11 PENDANG  Awang Solahudin (PAS)35.4% (26,536)Othman Abdul (BN - UMNO)27.7% (20,728)Wan Saifulruddin Wan Jan (PH - PPBM)19.9% (14,901)Abdul Malik Manaf (IND)0.1% (81)Registered voters: 74,867Majority: 5,808Spoilt votes: 952Unreturned votes: 0Voter Turnout: 63,371 (84.6%)DemographicsMalay 88.76%; Chinese 5.07%; Indian 0.54%; B/P Sabah 0.03%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.01%; Others 5.57%Incumbent: Othman Abdul"
"P12 JERAI  Sabri Azit (PAS)27.9% (22,312)Jamil Khir Baharom (BN - UMNO)27.2% (21,773)Akhramsyah Muammar Ubaidah Sanusi (PH - PPBM)27.1% (21,651)Registered voters: 79,976Majority: 539Spoilt votes: 1,012Unreturned votes: 0Voter Turnout: 66,920 (83.7%)DemographicsMalay 80.19%; Chinese 13.57%; Indian 5.91%; B/P Sabah 0.02%; B/P Sarawak 0.04%; Others 0.26%Incumbent: Jamil Khir Baharom"
"P13 SIK  Ahmad Tarmizi Sulaiman (PAS)39.9% (20,088)Mansor Abd Rahman (BN - UMNO)29.5% (14,870)Azli Uda (PH - AMANAH)13.8% (6,970)Registered voters: 50,385Majority: 5,218Spoilt votes: 729Unreturned votes: 0Voter Turnout: 42,772 (84.9%)DemographicsMalay 92.98%; Chinese 1.46%; Indian 0.17%; B/P Sabah 0.05%; B/P Sarawak 0.03%; Orang Asli (Pen. Msia) 0.01%; Others 5.31%Incumbent: Mansor Abd Rahman"
"P14 MERBOK  Nor Azrina Surip (PH - PKR)35.2% (30,902)Tajul Urus Mat Zain (BN - UMNO)23.7% (20,830)Ahmad Fauzi Ramli (PAS)22.3% (19,618)Registered voters: 87,782Majority: 10,072Spoilt votes: 1,108Unreturned votes: 0Voter Turnout: 72,708 (82.8%)DemographicsMalay 68.58%; Chinese 15.06%; Indian 15.34%; B/P Sabah 0.16%; B/P Sarawak 0.39%; Orang Asli (Pen. Msia) 0.01%; Others 0.46%"
"P15 SUNGAI PETANI  Johari Abdul (PH - PKR)40.4% (45,532)Shahanim Mohamad Yusoff (BN - UMNO)21.3% (23,963)Sharir Long (PAS)20.2% (22,760)Sritharan Pichathu (PRM)0.2% (279)Registered voters: 112,577Majority: 21,569Spoilt votes: 889Unreturned votes: 0Voter Turnout: 93,847 (83.4%)DemographicsMalay 60.71%; Chinese 26.83%; Indian 11.95%; B/P Sabah 0.04%; B/P Sarawak 0.05%; Orang Asli (Pen. Msia) 0.01%; Others 0.42%Incumbent: Johari Abdul"
"P16 BALING  Abdul Azeez Abdul Rahim (BN - UMNO)36.0% (38,557)Hassan Saad (PAS)35.0% (37,483)Mohd Taufik Yaacob (PH - PPBM)13.5% (14,472)Registered voters: 107,213Majority: 1,074Spoilt votes: 1,388Unreturned votes: 0Voter Turnout: 92,128 (85.9%)DemographicsMalay 88.87%; Chinese 4.38%; Indian 5.14%; B/P Sabah 0.05%; B/P Sarawak 0.04%; Orang Asli (Pen. Msia) 0.11%; Others 1.41%Incumbent: Abdul Azeez Abdul Rahim"
"P17 PADANG SERAI  Karupaiya Mutusami (PH - PKR)37.4% (31,724)Muhamad Sobri Osman (PAS)27.0% (22,911)Leong Yong Kong (BN - MCA)18.2% (15,449)Registered voters: 84,834Majority: 8,813Spoilt votes: 827Unreturned votes: 0Voter Turnout: 71,157 (83.9%)DemographicsMalay 59.05%; Chinese 19.79%; Indian 20.74%; B/P Sabah 0.04%; B/P Sarawak 0.04%; Others 0.33%"
"P18 KULIM-BANDAR BAHARU  Saifuddin Nasution Ismail (PH - PKR)34.8% (23,159)Abdul Aziz Sheikh Fadzir (BN - UMNO)27.5% (18,299)Abdul Raman Abdul Razak (PAS)19.4% (12,885)Registered voters: 66,587Majority: 4,860Spoilt votes: 894Unreturned votes: 0Voter Turnout: 55,390 (83.2%)DemographicsMalay 69.18%; Chinese 17.65%; Indian 12.87%; B/P Sabah 0.06%; B/P Sarawak 0.07%; Others 0.16%Incumbent: Abdul Aziz Sheikh Fadzir"
