parid,par,party,win_pct,state,votes_cast,votes_spoilt,ttl_reg,turn_out,malay,muslim_bumiputera,non_muslim_bumiputera,bp_sabah,bp_sarawak,org_asli_pen,others,chinese,indian,urbanisation_level,status,ttl_felda_area,age_21_30,age_31_40,age_41_50,age_51_60,age_61_70,age_71_80,age_81_90,age_above_90,coalition
49,TANJONG,PKR,0.8725,PULAU PINANG,39727,347,49586,0.8081999999999999,0.058899999999999994,,,0.0004,0.0003,,0.0031,0.8417,0.0955,URBAN,NON-FELDA,0,6.96,11.99,17.05,23.64,22.21,11.41,4.4,2.33,GOVERNMENT
50,JELUTONG,PKR,0.7963,PULAU PINANG,63666,720,76991,0.8362999999999999,0.2262,,,0.0006,0.0004,,0.0039000000000000003,0.6520999999999999,0.1167,URBAN,NON-FELDA,0,13.44,19.28,19.01,20.55,16.48,7.9,2.72,0.61,GOVERNMENT
51,BUKIT GELUGOR,PKR,0.8668,PULAU PINANG,75705,528,91595,0.8323,0.1433,,,0.0006,0.0004,,0.0045000000000000005,0.7386,0.1127,SEMI URBAN,NON-FELDA,0,14.63,21.26,20.15,18.69,14.46,7.92,2.45,0.44,GOVERNMENT
52,BAYAN BARU,PKR,0.6888,PULAU PINANG,74849,762,90780,0.8329000000000001,0.396,,,0.0019,0.0018,,0.0049,0.4851,0.11019999999999999,URBAN,NON-FELDA,0,17.14,23.26,20.51,18.79,13.02,5.52,1.54,0.21,GOVERNMENT
53,BALIK PULAU,PKR,0.5117,PULAU PINANG,49776,631,59086,0.8531,0.649,,,0.0015,0.001,,0.0027,0.3016,0.0443,RURAL,NON-FELDA,0,18.17,22.44,21.04,18.99,11.93,5.53,1.64,0.26,GOVERNMENT
54,GERIK,BN,0.4849,PERAK,27311,595,35903,0.7773,0.691,,,0.0055000000000000005,0.0084,0.0907,0.030899999999999997,0.1405,0.0329,RURAL,FELDA,2,23.62,26.49,17.81,15.72,10.09,4.45,1.51,0.31,OPPOSITION
55,LENGGONG,BN,0.5397,PERAK,23205,405,29752,0.7936,0.8345999999999999,,,0.0007000000000000001,0.0005,0.0213,0.0016,0.12689999999999999,0.0144,RURAL,FELDA,3,19.04,25.37,17.77,16.13,12.55,6.37,2.33,0.45,OPPOSITION
56,LARUT,BN,0.45899999999999996,PERAK,39620,722,49453,0.8158,0.8969,,,0.0005,0.0004,,0.0023,0.0434,0.0564,RURAL,FELDA,1,17.59,24.02,19.66,16.75,12.72,6.69,2.25,0.33,OPPOSITION
57,PARIT BUNTAR,PKR,0.3922,PERAK,42720,536,51860,0.8341,0.6934999999999999,,,0.0005,0.0002,,0.0013,0.257,0.047599999999999996,RURAL,NON-FELDA,0,15.33,23.54,21.52,17.9,12.54,6.51,2.23,0.41,GOVERNMENT
58,BAGAN SERAI,BN,0.3644,PERAK,47255,865,59293,0.8116,0.7789,,,0.0004,0.0004,,0.0014000000000000002,0.12890000000000001,0.0901,RURAL,NON-FELDA,0,16.97,23.33,21.01,17.61,11.92,6.57,2.19,0.4,OPPOSITION
59,BUKIT GANTANG,BN,0.3948,PERAK,56863,761,69873,0.8247,0.7239,,,0.0004,0.0005,0.0001,0.002,0.18899999999999997,0.08410000000000001,RURAL,NON-FELDA,0,18.34,24.43,18.78,17.97,12.84,5.64,1.7,0.31,OPPOSITION
60,TAIPING,PKR,0.6164999999999999,PERAK,69743,1092,90729,0.7807,0.3881,,,0.0023,0.0062,0.0003,0.0044,0.46409999999999996,0.13449999999999998,URBAN,NON-FELDA,0,15.58,22.35,16.83,18.34,15.5,7.86,2.94,0.59,GOVERNMENT
